"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 16 20:02:00 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","0","","Booking the trip: Menu sections in clickable","","","","And I expect menu sections ""Аренда машин"" on the ""Main Page"" is clickable",""
"skipped","Thu Nov 16 20:02:00 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","1","","Booking the trip: Menu sections in clickable","","","","And I expect menu sections ""Авиабилеты"" on the ""Main Page"" is clickable",""
"skipped","Thu Nov 16 20:02:00 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","0","","Booking the trip: Menu sections in clickable","","","","And I expect menu sections ""Варианты досуга"" on the ""Main Page"" is clickable",""
"passed","Thu Nov 16 20:02:00 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","1","","Booking the trip: Menu sections in clickable","","","","",""
"broken","Thu Nov 16 20:01:45 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","15202","","Booking the trip: Menu sections in clickable","","","","When Click on ""Accept cookie button"" on ""Main Page""",""
"skipped","Thu Nov 16 20:02:00 GMT 2023","Thu Nov 16 20:02:00 GMT 2023","1","","Booking the trip: Menu sections in clickable","","","","And I expect menu sections ""Такси от/до аэропорта"" on the ""Main Page"" is clickable",""
"passed","Thu Nov 16 20:01:43 GMT 2023","Thu Nov 16 20:01:45 GMT 2023","1802","","Booking the trip: Menu sections in clickable","","","","Given Open www.booking.com website",""
